city,property_type,sector,price,bedRoom,bathroom,balcony,agePossession,built_up_area,servant room,store room,furnishing_type,luxury_category,floor_category
gurgaon,flat,sector 28,1.6,2,2,2,Relatively New,1222.0,0,0,0,Medium,Mid Floor
gurgaon,flat,sector 70a,1.6,4,4,3,Relatively New,1600.0,0,0,0,Low,Low Floor
gurgaon,flat,sector 33,1.2,2,2,3,New Property,86.0,0,0,0,Medium,Low Floor
gurgaon,flat,sector 65,3.67,3,3,2,Under Construction,2040.0,1,0,0,Low,High Floor
gurgaon,flat,sector 61,2.41,3,3,3,New Property,1629.977377,0,0,2,Low,Low Floor
gurgaon,flat,sector 33,2.1,3,3,2,Under Construction,1619.0,0,0,0,Low,Mid Floor
gurgaon,flat,sector 104,0.26,1,1,2,Relatively New,300.958644,0,0,0,Medium,Low Floor
gurgaon,flat,sohna road,0.27,2,2,2,New Property,640.0,0,0,0,Low,Low Floor
gurgaon,flat,sector 112,3.75,3,3,2,Relatively New,2225.56,1,0,2,High,High Floor
bangalore,flat,"chikkagubbi, hennur road",2.05,3,3,1,New Property,1222.0,0,0,0,Low,Mid Floor
bangalore,flat,"balagere, near panathur, bangalore",2.1,3,3,1,New Property,1222.0,0,0,0,Low,High Floor
gurgaon,flat,sector 60,3.0,3,3,3,Relatively New,2400.0,1,0,2,High,Mid Floor
bangalore,flat,"sarjapur road, bangalore",2.51,3,3,2,Relatively New,1657.0,0,0,0,Low,Mid Floor
gurgaon,flat,sector 86,1.05,3,3,3,Under Construction,1715.0,1,0,0,Low,Mid Floor
bangalore,house,"bharat nagar, bangalore",3.78,3,4,1,New Property,1170.0,0,0,0,Low,Mid Floor
gurgaon,flat,sector 70,1.8,3,4,3,New Property,1527.0,1,0,0,Low,Low Floor
gurgaon,flat,sector 69,3.1,4,6,3+,Relatively New,2816.0,1,0,0,High,High Floor
gurgaon,flat,sector 49,1.85,3,3,1,Moderately Old,1471.12,0,1,0,High,Mid Floor
gurgaon,house,sector 4,0.65,2,1,1,Moderately Old,500.0,0,0,0,Low,Mid Floor
gurgaon,flat,sector 37c,1.0,3,3,3+,Relatively New,1707.0,0,0,2,Low,Mid Floor
bangalore,flat,"electronic city, bangalore",1.91,3,2,2,Under Construction,1086.0,0,0,0,Low,High Floor
gurgaon,house,sector 9,3.4,9,9,3,Moderately Old,2628.0,0,0,2,Medium,Mid Floor
gurgaon,flat,sohna road,0.71,2,2,3+,Relatively New,1131.0,0,0,0,Low,Mid Floor
gurgaon,flat,sector 85,1.45,3,4,2,New Property,1616.0,1,0,0,Low,Mid Floor
gurgaon,flat,sector 61,1.65,2,2,2,Under Construction,1333.0,0,0,0,Low,Low Floor
gurgaon,flat,sector 70a,0.95,2,2,1,New Property,930.00096,0,0,2,Medium,High Floor
gurgaon,flat,sector 84,0.69,2,2,3+,Relatively New,1221.0,0,0,0,Medium,Mid Floor
gurgaon,house,sohna road road,0.5,5,4,3,Relatively New,725.0,0,0,0,Low,Mid Floor
gurgaon,flat,sohna road,0.32,2,2,2,Relatively New,615.0,0,0,2,Low,High Floor
gurgaon,flat,sector 99a,0.85,2,2,2,New Property,1133.0,0,0,0,Low,Mid Floor
gurgaon,house,sector 24,5.25,4,4,3+,Relatively New,1350.0,1,0,2,Medium,Low Floor
gurgaon,flat,sector 107,0.28,2,2,2,Relatively New,543.0,0,0,0,Low,Mid Floor
bangalore,flat,"sarjapur road, bangalore",2.5,3,2,2,New Property,1580.0,1,0,0,Low,High Floor
gurgaon,flat,sector 70,1.75,3,5,0,Relatively New,1949.988124,0,0,0,Low,Low Floor
gurgaon,house,sector 6,0.75,6,4,1,Moderately Old,713.0,0,0,0,Medium,Mid Floor
gurgaon,flat,sector 78,1.2,1,2,2,Under Construction,822.0,0,0,0,Low,High Floor
gurgaon,flat,sector 80,1.4,3,4,2,Moderately Old,1854.0,0,1,0,Medium,Mid Floor
gurgaon,flat,sector 92,1.3,4,4,0,Relatively New,2039.974328,0,0,0,Low,Mid Floor
gurgaon,house,sector 4,3.25,3,3,2,Old Property,2250.0,0,0,0,Low,Low Floor
gurgaon,flat,sector 104,2.78,4,4,3+,Relatively New,2850.0,1,0,0,Medium,High Floor
gurgaon,flat,sector 88a,2.65,3,3,3+,New Property,1582.0,0,0,0,Medium,Mid Floor
bangalore,house,"koramangala, bangalore",18.5,5,5,3+,Old Property,4222.0,1,1,2,Medium,Mid Floor
bangalore,house,"devanahalli, bangalore",6.2,4,4,2,Under Construction,2630.0,0,0,0,Low,Low Floor
bangalore,flat,"harlur road, bangalore",2.55,3,2,1,Moderately Old,1470.0,0,0,2,Medium,High Floor
gurgaon,flat,sector 43,1.35,3,3,3,Old Property,1320.0,0,0,2,Medium,Low Floor
gurgaon,flat,sector 104,1.5,2,2,2,Under Construction,1402.0,0,0,0,Low,Mid Floor
gurgaon,flat,sector 92,0.95,4,5,3+,Moderately Old,1716.0,1,0,0,Low,Mid Floor
bangalore,flat,"devanahalli, bangalore",0.87,2,2,1,Relatively New,667.0,0,0,2,Low,Mid Floor
gurgaon,house,sector 109,11.3,7,5,3+,Relatively New,4500.0,1,0,0,Low,Mid Floor
gurgaon,house,sector 4,0.58,2,2,1,Moderately Old,67.0,0,0,0,Low,Low Floor
bangalore,house,"sarjapur road, bangalore",2.3,4,3,2,New Property,2400.0,0,1,0,Medium,Low Floor
gurgaon,flat,sohna road,0.3,2,2,2,Relatively New,523.0,0,0,1,Medium,Mid Floor
bangalore,flat,"sompura, sarjapur road",0.82,2,2,2,Moderately Old,653.0,0,0,0,Low,Mid Floor
bangalore,house,"jigani, bangalore",3.25,5,5,3+,New Property,4666.0,0,1,0,Low,Mid Floor
gurgaon,flat,sector 95,0.6,2,2,2,Relatively New,974.0,0,0,0,Low,High Floor
gurgaon,flat,sector 54,1.75,3,4,3+,Moderately Old,1900.0,1,0,2,Medium,Mid Floor
gurgaon,flat,sector 24,4.25,3,4,3+,Old Property,3201.0,1,0,2,Medium,Mid Floor
bangalore,flat,"varthur, bangalore",1.97,3,3,1,Relatively New,1235.0,0,0,0,Low,Mid Floor
gurgaon,flat,sector 78,1.2,3,3,2,Moderately Old,2044.0,0,0,1,Low,Mid Floor
gurgaon,flat,sector 72,3.25,3,3,3,Moderately Old,2986.0,1,0,0,Medium,Low Floor
gurgaon,flat,sector 85,2.13,4,4,3,Relatively New,2600.0,0,0,0,Low,Low Floor
gurgaon,flat,sohna road,0.25,1,1,1,Relatively New,386.0,0,0,0,Medium,Low Floor
gurgaon,house,sector 28,6.0,4,4,3+,Old Property,2700.0,0,0,2,Medium,Mid Floor
gurgaon,flat,sector 107,0.28,2,2,2,Relatively New,543.0,0,0,0,Low,Low Floor
gurgaon,flat,sector 33,1.62,3,4,3+,New Property,129.42,1,0,0,Medium,Mid Floor
gurgaon,flat,sohna road,0.36,2,2,1,New Property,522.0,0,0,0,Low,Low Floor
gurgaon,house,sector 12,1.4,2,2,1,Old Property,166.0,0,0,0,Low,Low Floor
bangalore,house,"sarjapur, bangalore",0.99,6,6,1,Old Property,1120.0,0,0,0,Low,Mid Floor
gurgaon,flat,sector 106,0.92,2,2,3+,Relatively New,940.0,0,0,0,High,Low Floor
gurgaon,house,sector 7,1.16,5,4,2,Old Property,1100.0,0,0,0,Low,Low Floor
gurgaon,flat,sector 90,1.9,4,4,3+,Relatively New,2467.0,1,0,0,Medium,Mid Floor
gurgaon,flat,sector 21,1.4,5,4,2,Moderately Old,2171.0,0,0,0,Low,Low Floor
bangalore,flat,"electronic city phase 2, bangalore",0.615,2,2,2,New Property,1000.0,0,0,0,Low,Low Floor
gurgaon,flat,sector 102,2.35,3,3,3,Relatively New,2351.0,1,0,2,High,High Floor
gurgaon,house,sector 2,0.7,1,1,0,Moderately Old,899.9696789999999,0,0,0,Low,Low Floor
bangalore,flat,"uttarahalli manavarthekaval, kanakapura road",2.0,4,4,2,Relatively New,1250.0,0,0,0,Low,Mid Floor
gurgaon,flat,sector 79,2.01,3,4,3+,Relatively New,2141.0,1,0,0,High,Mid Floor
bangalore,flat,"varthur, bangalore",1.95,2,2,1,New Property,899.0,0,0,0,Low,High Floor
gurgaon,flat,sector 107,0.36,2,2,1,Relatively New,496.0,0,0,0,Low,Mid Floor
bangalore,flat,"kodathi, near sarjapur road, bangalore",1.48,3,2,1,Relatively New,898.0,0,0,0,Low,Low Floor
gurgaon,flat,sector 88a,1.45,3,3,3,Relatively New,1993.0,0,0,0,Low,High Floor
gurgaon,house,sector 2,6.0,4,4,1,Relatively New,2996.992677,0,0,0,Low,Low Floor
bangalore,house,"kodipalya, bangalore",2.25,2,2,1,New Property,1222.0,0,0,0,Low,Mid Floor
gurgaon,flat,sector 90,1.25,3,3,3,Moderately Old,1541.0,1,0,0,Low,High Floor
gurgaon,flat,sector 53,6.02,3,3,3,Under Construction,2892.044652,0,0,0,Low,High Floor
gurgaon,flat,sector 48,1.6,3,3,3,Old Property,1700.0,0,0,2,Medium,High Floor
